BUGS,DAFFY,PORKY,SYLVESTER,TWEETY,WILEE,ROADRNNR,ELMER,YOSEMITE,MARVIN,GOSSAMER,TAZ,PEPE,FOGHORN,SPEEDY
"""Yankee Doodle Bugs""",,,"""The Last Hungry Cat""",,,,,,,,,,,
"""Baby Buggy Bunny""",,,"""Fish and Slips""",,,,,,,,,,,
"""Beanstalk Bunny""",,,"""Mexican Boarders""",,,,,,,,,,,
"""Sahara Hare""",,,"""The Jet Cage""",,,,,,,,,,,
"""Hare Brush""",,,"""Mexican Cat Dance""",,,,,,,,,,,
"""Rabbit Rampage""",,,"""Chili Weather""",,,,,,,,,,,
"""This Is a Life?""",,,"""Claws in the Lease""",,,,,,,,,,,
"""Hyde and Hare""",,,"""A Message to Gracias""",,,,,,,,,,,
"""Knight-Mare Hare""",,,"""Freudy Cat""",,,,,,,,,,,
"""Roman Legion-Hare""",,,"""Nuts and Volts""",,,,,,,,,,,
"""Bugs' Bonnets""",,,"""Hawaiian Aye Aye""",,,,,,,,,,,
"""Broom-Stick Bunny""",,,"""Road to Andalay""",,,,,,,,,,,
"""Rabbitson Crusoe""",,,,,,,,,,,,,,
"""Napoleon Bunny-Part""",,,,,,,,,,,,,,
"""Barbary-Coast Bunny""",,,,,,,,,,,,,,
"""Half-Fare Hare""",,,,,,,,,,,,,,
"""A Star Is Bored""",,,,,,,,,,,,,,
"""Wideo Wabbit""",,,,,,,,,,,,,,
"""To Hare Is Human""",,,,,,,,,,,,,,
"""Ali Baba Bunny""",,,,,,,,,,,,,,
"""Bedevilled Rabbit""",,,,,,,,,,,,,,
"""Piker's Peak""",,,,,,,,,,,,,,
"""What's Opera, Doc?""",,,,,,,,,,,,,,
"""Bugsy and Mugsy""",,,,,,,,,,,,,,
"""Show Biz Bugs""",,,,,,,,,,,,,,
"""Rabbit Romeo""",,,,,,,,,,,,,,
"""Hare-Less Wolf""",,,,,,,,,,,,,,
"""Hare-Way to the Stars""",,,,,,,,,,,,,,
"""Now, Hare This""",,,,,,,,,,,,,,
"""Knighty Knight Bugs""",,,,,,,,,,,,,,
"""Pre-Hysterical Hare""",,,,,,,,,,,,,,
"""Baton Bunny""",,,,,,,,,,,,,,
"""Hare-abian Nights""",,,,,,,,,,,,,,
"""Apes of Wrath""",,,,,,,,,,,,,,
"""Backwoods Bunny""",,,,,,,,,,,,,,
"""Wild and Woolly Hare""",,,,,,,,,,,,,,
"""Bonanza Bunny""",,,,,,,,,,,,,,
"""A Witch's Tangled Hare""",,,,,,,,,,,,,,
"""People Are Bunny""",,,,,,,,,,,,,,
"""Horse Hare""",,,,,,,,,,,,,,
"""Person to Bunny""",,,,,,,,,,,,,,
"""Rabbit's Feat""",,,,,,,,,,,,,,
"""From Hare to Heir""",,,,,,,,,,,,,,
"""Lighter Than Hare""",,,,,,,,,,,,,,
"""The Abominable Snow Rabbit""",,,,,,,,,,,,,,
"""Compressed Hare""",,,,,,,,,,,,,,
"""Prince Violent""",,,,,,,,,,,,,,
"""Wet Hare""",,,,,,,,,,,,,,
"""Bill of Hare""",,,,,,,,,,,,,,
"""Shishkabugs""",,,,,,,,,,,,,,
"""Devil's Feud Cake""",,,,,,,,,,,,,,
"""The Million Hare""",,,,,,,,,,,,,,
"""Hare-Breadth Hurry""",,,,,,,,,,,,,,
"""The Unmentionables""",,,,,,,,,,,,,,
"""Mad as a Mars Hare""",,,,,,,,,,,,,,
"""Transylvania 6-5000""",,,,,,,,,,,,,,
"""Dumb Patrol""",,,,,,,,,,,,,,
"""Dr. Devil and Mr. Hare""",,,,,,,,,,,,,,
"""The Iceman Ducketh""",,,,,,,,,,,,,,
"""False Hare""",,,,,,,,,,,,,,
"""Odor-able Kitty"" *C",,,,,,,,,,,,,,
"""The Goofy Gophers"" *C",,,,,,,,,,,,,,
"""The Lion's Busy"" *C",,,,,,,,,,,,,,
"""A Bear for Punishment"" *C",,,,,,,,,,,,,,
"""The Prize Pest"" *C",,,,,,,,,,,,,,
"""Duck Amuck"" *C",,,,,,,,,,,,,,
